artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
Arovane,Tides,0.499444444,0.551,0.497128889,-12.221,0.165736629,0.285494553,0.259909669,0.288859149
Idlewild,100 Broken Windows,0.414548387,0.803548387,0.091721135,-6.906322581,0.262516307,0.247694211,0.243027007,0.246762474
Calexico,Hot Rail,0.403571429,0.413657143,0.364155,-15.06021429,0.214504736,0.25390603,0.275242423,0.25634681
Jeff Buckley,Mystery White Boy,0.289923077,0.44829,0.279887077,-16.07323077,0.204365799,0.321190235,0.237074183,0.237369782
The (International) Noise Conspiracy,Survival Sickness,0.3765,0.788083333,0.009588025,-7.29225,0.250515055,0.270587205,0.269054332,0.209843409
Looper,The Geometrid,0.6939,0.5859,0.3428411,-9.6553,0.227009093,0.272121158,0.246188329,0.25468142
The Delgados,The Great Eastern,0.3441,0.4812,0.23591,-10.3655,0.243545921,0.244114658,0.264966098,0.247373323
Miranda Lambert,The Weight of These Wings,0.485708333,0.611,0.320540833,-8.038208333,0.241303623,0.26905156,0.264210587,0.22543423
Denitia and Sene,love and noir.,0.582083333,0.522583333,0.144332583,-7.713916667,0.269679159,0.268113177,0.224960732,0.237246932
John Legend,Darkness and Light,0.50875,0.631333333,0.475866667,-5.19075,0.24008163,0.305411106,0.228163878,0.226343386
Coldcut,Only Heaven,0.542,0.651,0.00752,-7.94,0.274331043,0.2239458,0.295680035,0.206043122
"Joan as Police Woman, Benjamin Lazar Davis",Let It Be You,0.5961,0.6475,0.116685,-7.1574,0.229781394,0.265173704,0.338948792,0.16609611
Brand New,The Devil and God Are Raging Inside Me,0.423083333,0.663916667,0.145123633,-5.887833333,0.250052148,0.251870521,0.272719347,0.225357984
Sun Ra,Singles,0.51914,0.47684,0.748,-9.84574,0.235665305,0.32380905,0.210337519,0.230188126
Dungen,Häxan,0.4766,0.41847,0.36911,-15.0614,0.227113925,0.276863587,0.232753066,0.263269422
Rufus Wainwright,Release the Stars,0.409166667,0.44385,0.386835833,-9.326583333,0.247005621,0.269283883,0.245315053,0.238395443
Beyoncé,Beyoncé,0.5584,0.55365,0.1938735,-8.5243,0.259075942,0.284343593,0.257652139,0.198928326
Saâda Bonaire,Saâda Bonaire,0.740538462,0.638692308,0.412,-8.561076923,0.264386309,0.219415988,0.24011197,0.276085734
